"id","job_name"
298,"간호 조무사"
299,"병원 코디네이터"
300,"수의사"
301,"심리 상담사"
302,"안경사"
303,"약사"
304,"의료 상담사"
305,"의료 전문가"
306,"의료기사"
307,"의사"
308,"임상 병리사"
309,"임상 심리사"
310,"치과의사"
311,"치료사"
312,"치위생사"
313,"피부 관리사"
314,"한의사"
315,"실버 케어 관리사"
316,"스포츠 트레이너"
317,"안마사"
318,"IT 관련직"
319,"정보통신 관련직"
320,"통신 관련직"
321,"웹서비스 운영자"
322,"데이터 전문가"
323,"데이터베이스 관리자"
324,"로봇 연구원"
325,"빅데이터 전문가"
326,"소프트웨어 아키텍트"
327,"시스템 설계 관련직"
328,"인공지능 전문가"
329,"정보보안 전문가"
330,"블로거"
331,"컴퓨터 시스템  전문가"
332,"프로게이머"
333,"프로그래머(개발자)"
334,"하드웨어 기술자"
335,"IT 기술자"
336,"IT 기획자"
337,"IT 연구원"
338,"UX/UI 디자이너"
339,"미디어 관련직"
340,"광고/홍보 관련직"
341,"영상 관련직"
342,"방송 관련직"
343,"기자"
344,"리포터"
345,"방송장비 기술자"
346,"영상 기술자"
347,"영상 전문가"
348,"촬영 감독"
349,"아나운서"
350,"아트디렉터"
351,"촬영 기술자"
352,"무속인"
353,"성직자/종교인"
354,"사회운동가"
355,"자원봉사자"
356,"조련사"
357,"일용직"
